driver_id,driver_name,assigned_zone,vehicle_type,contract_type,active
DRV-001,Catherine Colin,Maarif,velo,sous-traitant,True
DRV-002,Susanne Samson,Gueliz,camionnette,interne,True
DRV-003,Adélaïde-Michelle Marin,Palmeraie,velo,sous-traitant,True
DRV-004,Noël Marin,Maarif,velo,interne,True
DRV-005,Patricia Mary,Maarif,camionnette,interne,True
DRV-006,Nath Bazin,Palmeraie,scooter,interne,True
DRV-007,Benjamin Laroche,Hivernage,velo,interne,True
DRV-008,Thibaut Pages Le Clerc,Hivernage,scooter,interne,True
DRV-009,Patricia Rolland,Hivernage,velo,interne,True
DRV-010,Édith De Sousa,Hivernage,scooter,sous-traitant,True
DRV-011,Paul Poirier,Sidi Ghanem,camionnette,interne,False
DRV-012,Marcelle Morvan,Sidi Ghanem,velo,sous-traitant,True
DRV-013,Claire Delmas,Palmeraie,scooter,interne,True
DRV-014,Daniel Bertin,Maarif,camionnette,interne,True
DRV-015,Laure Rossi,Maarif,velo,interne,True
DRV-016,Monique Le Pascal,Sidi Ghanem,camionnette,sous-traitant,True
DRV-017,Corinne Dupuis,Hivernage,velo,sous-traitant,True
DRV-018,Lucy Alves,Maarif,camionnette,interne,True
DRV-019,Alexandria du Martel,Gueliz,velo,sous-traitant,True
DRV-020,Margaud Le Neveu,Palmeraie,velo,sous-traitant,True
DRV-021,Joseph Leleu,Maarif,velo,interne,True
DRV-022,Margot Maury de la Texier,Sidi Ghanem,scooter,interne,True
DRV-023,Victoire Maréchal,Palmeraie,camionnette,sous-traitant,True
DRV-024,Noël-Honoré Leclerc,Sidi Ghanem,scooter,sous-traitant,True
DRV-025,Étienne Maillot-Moreno,Gueliz,velo,sous-traitant,True
DRV-026,Benjamin Millet-Henry,Sidi Ghanem,camionnette,sous-traitant,True
DRV-027,Christiane-Agnès Gosselin,Gueliz,camionnette,sous-traitant,True
DRV-028,Augustin Maillet,Maarif,velo,interne,True
DRV-029,Nathalie Dos Santos-Paul,Sidi Ghanem,camionnette,interne,True
DRV-030,Henri-Gérard Peron,Palmeraie,scooter,sous-traitant,False
